CODE,DISTRICT,STATE,pincode
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110022,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110022"
110066,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110066"
110010,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110010"
110029,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110029"
110074,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110074"
110021,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110021"
110010,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110010"
110010,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110010"
110030,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110030"
110030,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110030"
110016,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110016"
110070,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110070"
110070,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110070"
110057,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110057"
110057,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110057"
110010,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110010"
110023,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110023"
110075,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110075"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110071,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110071"
110077,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110077"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110077,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110077"
110071,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110071"
110072,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110072"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110077,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110077"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110075,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110075"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110045,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110045"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110073,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110073"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
110028,SOUTH WEST DELHI,DELHI,"DELHI, SOUTH WEST DELHI 110028"
